Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U26,0,B,False,,none,,False,True
U26,1,G,False,,none,,False,True
U26,2,B,True,1046.0,none,,True,True
U26,3,G,True,1116.0,major_7th_cluster.wav,701.0,True,True
U26,4,D,False,,stacked_tritones.wav,,False,True
U26,5,D,False,,none,,False,True
U26,6,C,False,,none,,False,True
U26,7,B,False,,none,,False,True
U26,8,F,False,,none,,False,True
U26,9,C,True,1070.0,minor_2nd_cluster.wav,660.0,False,False
U26,10,G,False,,none,,False,True
U26,11,F,False,,c_min7_b5.wav,,False,True
U26,12,G,True,1164.0,none,,True,True
U26,13,B,False,,none,,False,True
U26,14,B,True,1288.0,c_major_6.wav,867.0,False,False
U26,15,B,False,,none,,True,False
U26,16,B,True,654.0,none,,True,True
U26,17,C,False,,c_maj7_b9.wav,,False,True
U26,18,F,False,,none,,False,True
U26,19,D,False,,c7_sharp_9.wav,,False,True
U26,20,C,False,,c_major.wav,,False,True
U26,21,D,True,668.0,none,,True,True
