Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U22,0,D,False,,none,,False,True
U22,1,G,False,,none,,False,True
U22,2,C,False,,none,,False,True
U22,3,D,False,,none,,False,True
U22,4,C,True,1265.0,c_major_6.wav,839.0,True,True
U22,5,D,False,,none,,True,False
U22,6,G,False,,none,,False,True
U22,7,D,True,670.0,none,,True,True
U22,8,F,False,,none,,False,True
U22,9,F,False,,c_maj7_b9.wav,,False,True
U22,10,B,False,,c_major.wav,,False,True
U22,11,F,True,1488.0,none,,True,True
U22,12,G,False,,c7_sharp_9.wav,,False,True
U22,13,C,False,,major_7th_cluster.wav,,False,True
U22,14,B,False,,stacked_tritones.wav,,False,True
U22,15,C,False,,none,,True,False
U22,16,C,False,,minor_2nd_cluster.wav,,False,True
U22,17,G,False,,none,,False,True
U22,18,C,True,727.0,none,,True,True
U22,19,B,False,,none,,False,True
U22,20,B,False,,c_min7_b5.wav,,False,True
U22,21,B,True,850.0,none,,True,True
