Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U26-1,0,D,False,,none,,False,True
U26-1,1,G,False,,none,,False,True
U26-1,2,C,False,,none,,False,True
U26-1,3,D,False,,none,,False,True
U26-1,4,C,True,666.0,stacked_tritones.wav,244.0,True,True
U26-1,5,D,True,1690.0,none,,True,True
U26-1,6,G,False,,c_major_6.wav,,False,True
U26-1,7,D,True,582.0,none,,True,True
U26-1,8,F,False,,none,,False,True
U26-1,9,F,False,,minor_2nd_cluster.wav,,False,True
U26-1,10,B,False,,c_major.wav,,False,True
U26-1,11,F,True,921.0,none,,True,True
U26-1,12,G,False,,c_min7_b5.wav,,False,True
U26-1,13,C,False,,none,,False,True
U26-1,14,B,False,,c_maj7_b9.wav,,False,True
U26-1,15,C,True,646.0,none,,True,True
U26-1,16,C,False,,none,,False,True
U26-1,17,G,False,,major_7th_cluster.wav,,False,True
U26-1,18,C,True,1065.0,none,,True,True
U26-1,19,B,False,,c7_sharp_9.wav,,False,True
U26-1,20,B,False,,none,,False,True
U26-1,21,B,True,638.0,none,,True,True
