Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U15-1,0,B,False,,none,,False,True
U15-1,1,G,False,,none,,False,True
U15-1,2,B,True,1335.0,c_min7_b5.wav,924.0,True,True
U15-1,3,G,True,1650.0,none,,True,True
U15-1,4,D,False,,none,,False,True
U15-1,5,D,False,,none,,False,True
U15-1,6,C,False,,none,,False,True
U15-1,7,B,False,,stacked_tritones.wav,,False,True
U15-1,8,F,False,,c_maj7_b9.wav,,False,True
U15-1,9,C,False,,c_major.wav,,False,True
U15-1,10,G,False,,none,,False,True
U15-1,11,F,False,,c_major_6.wav,,False,True
U15-1,12,G,False,,none,,True,False
U15-1,13,B,True,1585.0,major_7th_cluster.wav,1176.0,False,False
U15-1,14,B,False,,minor_2nd_cluster.wav,,False,True
U15-1,15,B,False,,none,,True,False
U15-1,16,B,True,719.0,c7_sharp_9.wav,309.0,True,True
U15-1,17,C,False,,none,,False,True
U15-1,18,F,False,,none,,False,True
U15-1,19,D,False,,none,,False,True
U15-1,20,C,False,,none,,False,True
U15-1,21,D,False,,none,,True,False
