Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U11-1,0,B,False,,none,,False,True
U11-1,1,G,False,,none,,False,True
U11-1,2,B,True,788.0,none,,True,True
U11-1,3,G,True,840.0,stacked_tritones.wav,426.0,True,True
U11-1,4,D,False,,none,,False,True
U11-1,5,D,False,,none,,False,True
U11-1,6,C,False,,minor_2nd_cluster.wav,,False,True
U11-1,7,B,False,,none,,False,True
U11-1,8,F,False,,c_min7_b5.wav,,False,True
U11-1,9,C,False,,major_7th_cluster.wav,,False,True
U11-1,10,G,False,,none,,False,True
U11-1,11,F,False,,c7_sharp_9.wav,,False,True
U11-1,12,G,True,1231.0,none,,True,True
U11-1,13,B,False,,c_major.wav,,False,True
U11-1,14,B,False,,none,,False,True
U11-1,15,B,True,753.0,none,,True,True
U11-1,16,B,True,674.0,none,,True,True
U11-1,17,C,False,,none,,False,True
U11-1,18,F,False,,c_major_6.wav,,False,True
U11-1,19,D,False,,c_maj7_b9.wav,,False,True
U11-1,20,C,False,,none,,False,True
U11-1,21,D,True,949.0,none,,True,True
