Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U12-1,0,B,False,,none,,False,True
U12-1,1,G,False,,none,,False,True
U12-1,2,B,True,1237.0,c_major.wav,822.0,True,True
U12-1,3,G,True,996.0,none,,True,True
U12-1,4,D,False,,none,,False,True
U12-1,5,D,False,,c_major_6.wav,,False,True
U12-1,6,C,False,,c7_sharp_9.wav,,False,True
U12-1,7,B,False,,c_min7_b5.wav,,False,True
U12-1,8,F,False,,none,,False,True
U12-1,9,C,False,,none,,False,True
U12-1,10,G,False,,none,,False,True
U12-1,11,F,False,,none,,False,True
U12-1,12,G,False,,c_maj7_b9.wav,,True,False
U12-1,13,B,False,,none,,False,True
U12-1,14,B,False,,minor_2nd_cluster.wav,,False,True
U12-1,15,B,False,,none,,True,False
U12-1,16,B,False,,none,,True,False
U12-1,17,C,False,,none,,False,True
U12-1,18,F,False,,major_7th_cluster.wav,,False,True
U12-1,19,D,False,,stacked_tritones.wav,,False,True
U12-1,20,C,False,,none,,False,True
U12-1,21,D,True,1626.0,none,,True,True
