Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U06,0,D,False,,none,,False,True
U06,1,G,False,,none,,False,True
U06,2,C,False,,none,,False,True
U06,3,D,False,,none,,False,True
U06,4,C,False,,c_min7_b5.wav,,True,False
U06,5,D,False,,major_7th_cluster.wav,,True,False
U06,6,G,False,,c_major.wav,,False,True
U06,7,D,False,,stacked_tritones.wav,,True,False
U06,8,F,False,,none,,False,True
U06,9,F,False,,none,,False,True
U06,10,B,False,,minor_2nd_cluster.wav,,False,True
U06,11,F,True,1005.0,none,,True,True
U06,12,G,False,,none,,False,True
U06,13,C,False,,none,,False,True
U06,14,B,False,,c7_sharp_9.wav,,False,True
U06,15,C,True,1204.0,none,,True,True
U06,16,C,False,,c_major_6.wav,,False,True
U06,17,G,False,,none,,False,True
U06,18,C,True,951.0,c_maj7_b9.wav,541.0,True,True
U06,19,B,False,,none,,False,True
U06,20,B,False,,none,,False,True
U06,21,B,True,1026.0,none,,True,True
