Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U23-1,0,D,False,,none,,False,True
U23-1,1,G,False,,none,,False,True
U23-1,2,C,False,,c7_sharp_9.wav,,False,True
U23-1,3,D,False,,c_major.wav,,False,True
U23-1,4,C,True,701.0,none,,True,True
U23-1,5,D,False,,none,,True,False
U23-1,6,G,False,,c_major_6.wav,,False,True
U23-1,7,D,True,841.0,minor_2nd_cluster.wav,425.0,True,True
U23-1,8,F,False,,none,,False,True
U23-1,9,F,False,,c_min7_b5.wav,,False,True
U23-1,10,B,False,,none,,False,True
U23-1,11,F,True,632.0,none,,True,True
U23-1,12,G,False,,c_maj7_b9.wav,,False,True
U23-1,13,C,False,,none,,False,True
U23-1,14,B,False,,none,,False,True
U23-1,15,C,True,1456.0,none,,True,True
U23-1,16,C,False,,stacked_tritones.wav,,False,True
U23-1,17,G,False,,none,,False,True
U23-1,18,C,True,612.0,major_7th_cluster.wav,195.0,True,True
U23-1,19,B,False,,none,,False,True
U23-1,20,B,False,,none,,False,True
U23-1,21,B,True,692.0,none,,True,True
