Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U09,0,D,False,,none,,False,True
U09,1,G,False,,none,,False,True
U09,2,C,False,,none,,False,True
U09,3,D,False,,none,,False,True
U09,4,C,True,946.0,c7_sharp_9.wav,536.0,True,True
U09,5,D,True,984.0,none,,True,True
U09,6,G,False,,c_min7_b5.wav,,False,True
U09,7,D,True,808.0,c_maj7_b9.wav,387.0,True,True
U09,8,F,False,,minor_2nd_cluster.wav,,False,True
U09,9,F,True,1054.0,none,,False,False
U09,10,B,False,,none,,False,True
U09,11,F,True,999.0,none,,True,True
U09,12,G,False,,none,,False,True
U09,13,C,False,,c_major.wav,,False,True
U09,14,B,False,,none,,False,True
U09,15,C,True,866.0,none,,True,True
U09,16,C,True,1017.0,none,,False,False
U09,17,G,False,,none,,False,True
U09,18,C,True,1156.0,stacked_tritones.wav,748.0,True,True
U09,19,B,False,,major_7th_cluster.wav,,False,True
U09,20,B,True,1051.0,c_major_6.wav,644.0,False,False
U09,21,B,True,1036.0,none,,True,True
