Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U11,0,D,False,,none,,False,True
U11,1,G,False,,none,,False,True
U11,2,C,False,,minor_2nd_cluster.wav,,False,True
U11,3,D,False,,c_major.wav,,False,True
U11,4,C,True,755.0,none,,True,True
U11,5,D,True,633.0,c7_sharp_9.wav,225.0,True,True
U11,6,G,False,,none,,False,True
U11,7,D,True,815.0,c_maj7_b9.wav,396.0,True,True
U11,8,F,False,,none,,False,True
U11,9,F,True,866.0,c_major_6.wav,459.0,False,False
U11,10,B,False,,none,,False,True
U11,11,F,True,863.0,none,,True,True
U11,12,G,False,,none,,False,True
U11,13,C,False,,c_min7_b5.wav,,False,True
U11,14,B,False,,none,,False,True
U11,15,C,True,812.0,none,,True,True
U11,16,C,False,,none,,False,True
U11,17,G,False,,stacked_tritones.wav,,False,True
U11,18,C,True,1412.0,none,,True,True
U11,19,B,False,,none,,False,True
U11,20,B,True,854.0,major_7th_cluster.wav,443.0,False,False
U11,21,B,True,919.0,none,,True,True
