Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U21-1,0,D,False,,none,,False,True
U21-1,1,G,False,,none,,False,True
U21-1,2,C,False,,none,,False,True
U21-1,3,D,False,,none,,False,True
U21-1,4,C,True,1075.0,stacked_tritones.wav,655.0,True,True
U21-1,5,D,True,1506.0,none,,True,True
U21-1,6,G,False,,c7_sharp_9.wav,,False,True
U21-1,7,D,True,1118.0,minor_2nd_cluster.wav,707.0,True,True
U21-1,8,F,False,,c_major.wav,,False,True
U21-1,9,F,False,,none,,False,True
U21-1,10,B,True,952.0,c_major_6.wav,539.0,False,False
U21-1,11,F,True,2418.0,none,,True,True
U21-1,12,G,False,,none,,False,True
U21-1,13,C,False,,none,,False,True
U21-1,14,B,False,,c_maj7_b9.wav,,False,True
U21-1,15,C,False,,none,,True,False
U21-1,16,C,False,,none,,False,True
U21-1,17,G,False,,major_7th_cluster.wav,,False,True
U21-1,18,C,True,756.0,none,,True,True
U21-1,19,B,False,,none,,False,True
U21-1,20,B,False,,c_min7_b5.wav,,False,True
U21-1,21,B,False,,none,,True,False
