Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U08,0,D,False,,none,,False,True
U08,1,G,False,,none,,False,True
U08,2,C,False,,none,,False,True
U08,3,D,False,,c_major_6.wav,,False,True
U08,4,C,False,,none,,True,False
U08,5,D,False,,none,,True,False
U08,6,G,False,,none,,False,True
U08,7,D,True,798.0,c7_sharp_9.wav,390.0,True,True
U08,8,F,False,,none,,False,True
U08,9,F,False,,none,,False,True
U08,10,B,False,,c_maj7_b9.wav,,False,True
U08,11,F,True,819.0,none,,True,True
U08,12,G,False,,none,,False,True
U08,13,C,False,,none,,False,True
U08,14,B,False,,none,,False,True
U08,15,C,True,866.0,major_7th_cluster.wav,459.0,True,True
U08,16,C,False,,minor_2nd_cluster.wav,,False,True
U08,17,G,False,,none,,False,True
U08,18,C,True,814.0,stacked_tritones.wav,403.0,True,True
U08,19,B,False,,c_min7_b5.wav,,False,True
U08,20,B,False,,c_major.wav,,False,True
U08,21,B,True,686.0,none,,True,True
