Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U24,0,B,False,,none,,False,True
U24,1,G,False,,none,,False,True
U24,2,B,True,896.0,c_min7_b5.wav,470.0,True,True
U24,3,G,True,855.0,none,,True,True
U24,4,D,False,,stacked_tritones.wav,,False,True
U24,5,D,True,785.0,none,,False,False
U24,6,C,False,,none,,False,True
U24,7,B,False,,none,,False,True
U24,8,F,False,,none,,False,True
U24,9,C,True,1023.0,none,,False,False
U24,10,G,False,,c_maj7_b9.wav,,False,True
U24,11,F,True,901.0,none,,False,False
U24,12,G,False,,c_major.wav,,True,False
U24,13,B,True,630.0,none,,False,False
U24,14,B,False,,none,,False,True
U24,15,B,True,663.0,none,,True,True
U24,16,B,True,1343.0,minor_2nd_cluster.wav,932.0,True,True
U24,17,C,False,,none,,False,True
U24,18,F,False,,c_major_6.wav,,False,True
U24,19,D,False,,c7_sharp_9.wav,,False,True
U24,20,C,False,,major_7th_cluster.wav,,False,True
U24,21,D,True,638.0,none,,True,True
