Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U01,0,B,False,,none,,False,True
U01,1,C,False,,none,,False,True
U01,2,B,False,,c_maj7_b9.wav,,True,False
U01,3,D,False,,none,,False,True
U01,4,B,True,747.0,c_major_6.wav,322.0,True,True
U01,5,D,True,1417.0,c7_sharp_9.wav,1012.0,True,True
U01,6,F,False,,minor_2nd_cluster.wav,,False,True
U01,7,D,False,,none,,True,False
U01,8,F,True,1185.0,none,,True,True
U01,9,G,False,,none,,False,True
U01,10,B,False,,none,,False,True
U01,11,G,True,1719.0,c_major.wav,1299.0,True,True
U01,12,C,False,,major_7th_cluster.wav,,False,True
U01,13,C,False,,none,,False,True
U01,14,F,False,,none,,False,True
U01,15,B,False,,stacked_tritones.wav,,False,True
U01,16,F,True,914.0,none,,True,True
U01,17,G,False,,none,,False,True
U01,18,D,False,,c_min7_b5.wav,,False,True
U01,19,G,True,2274.0,none,,True,True
U01,20,B,False,,none,,False,True
U01,21,B,False,,none,,False,True
