Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U08-1,0,B,False,,none,,False,True
U08-1,1,G,False,,none,,False,True
U08-1,2,B,True,902.0,none,,True,True
U08-1,3,G,True,1415.0,minor_2nd_cluster.wav,1002.0,True,True
U08-1,4,D,False,,none,,False,True
U08-1,5,D,False,,c7_sharp_9.wav,,False,True
U08-1,6,C,False,,c_major.wav,,False,True
U08-1,7,B,False,,c_major_6.wav,,False,True
U08-1,8,F,False,,major_7th_cluster.wav,,False,True
U08-1,9,C,False,,none,,False,True
U08-1,10,G,False,,none,,False,True
U08-1,11,F,False,,none,,False,True
U08-1,12,G,True,731.0,c_maj7_b9.wav,321.0,True,True
U08-1,13,B,False,,none,,False,True
U08-1,14,B,False,,stacked_tritones.wav,,False,True
U08-1,15,B,True,678.0,c_min7_b5.wav,260.0,True,True
U08-1,16,B,True,1260.0,none,,True,True
U08-1,17,C,False,,none,,False,True
U08-1,18,F,False,,none,,False,True
U08-1,19,D,False,,none,,False,True
U08-1,20,C,False,,none,,False,True
U08-1,21,D,True,700.0,none,,True,True
