Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U27,0,B,False,,none,,False,True
U27,1,G,False,,none,,False,True
U27,2,B,True,1391.0,none,,True,True
U27,3,G,True,1222.0,c_maj7_b9.wav,812.0,True,True
U27,4,D,False,,none,,False,True
U27,5,D,False,,none,,False,True
U27,6,C,False,,none,,False,True
U27,7,B,False,,c_major_6.wav,,False,True
U27,8,F,False,,c_major.wav,,False,True
U27,9,C,False,,none,,False,True
U27,10,G,True,1524.0,none,,False,False
U27,11,F,True,1072.0,none,,False,False
U27,12,G,True,2438.0,c7_sharp_9.wav,2030.0,True,True
U27,13,B,False,,major_7th_cluster.wav,,False,True
U27,14,B,True,1586.0,stacked_tritones.wav,1173.0,False,False
U27,15,B,False,,minor_2nd_cluster.wav,,True,False
U27,16,B,True,949.0,none,,True,True
U27,17,C,False,,none,,False,True
U27,18,F,False,,none,,False,True
U27,19,D,False,,none,,False,True
U27,20,C,True,1328.0,c_min7_b5.wav,915.0,False,False
U27,21,D,False,,none,,True,False
