Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U21,0,B,False,,none,,False,True
U21,1,G,False,,none,,False,True
U21,2,B,True,1075.0,none,,True,True
U21,3,G,True,1194.0,none,,True,True
U21,4,D,False,,stacked_tritones.wav,,False,True
U21,5,D,False,,minor_2nd_cluster.wav,,False,True
U21,6,C,False,,none,,False,True
U21,7,B,True,888.0,major_7th_cluster.wav,476.0,False,False
U21,8,F,False,,none,,False,True
U21,9,C,True,1083.0,none,,False,False
U21,10,G,True,1157.0,none,,False,False
U21,11,F,True,1466.0,none,,False,False
U21,12,G,True,1719.0,c_maj7_b9.wav,1311.0,True,True
U21,13,B,False,,none,,False,True
U21,14,B,False,,c_major_6.wav,,False,True
U21,15,B,True,820.0,none,,True,True
U21,16,B,False,,c_major.wav,,True,False
U21,17,C,False,,c7_sharp_9.wav,,False,True
U21,18,F,True,835.0,c_min7_b5.wav,424.0,False,False
U21,19,D,False,,none,,False,True
U21,20,C,True,1219.0,none,,False,False
U21,21,D,True,1262.0,none,,True,True
