Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U09-1,0,B,False,,none,,False,True
U09-1,1,G,False,,none,,False,True
U09-1,2,B,True,865.0,minor_2nd_cluster.wav,459.0,True,True
U09-1,3,G,True,895.0,none,,True,True
U09-1,4,D,False,,c_maj7_b9.wav,,False,True
U09-1,5,D,True,1038.0,none,,False,False
U09-1,6,C,False,,none,,False,True
U09-1,7,B,False,,major_7th_cluster.wav,,False,True
U09-1,8,F,False,,none,,False,True
U09-1,9,C,False,,none,,False,True
U09-1,10,G,False,,none,,False,True
U09-1,11,F,False,,c_min7_b5.wav,,False,True
U09-1,12,G,True,1081.0,none,,True,True
U09-1,13,B,False,,none,,False,True
U09-1,14,B,True,917.0,c_major.wav,505.0,False,False
U09-1,15,B,True,767.0,stacked_tritones.wav,355.0,True,True
U09-1,16,B,True,925.0,none,,True,True
U09-1,17,C,False,,c7_sharp_9.wav,,False,True
U09-1,18,F,False,,none,,False,True
U09-1,19,D,False,,c_major_6.wav,,False,True
U09-1,20,C,False,,none,,False,True
U09-1,21,D,True,982.0,none,,True,True
