Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U07-1,0,D,False,,none,,False,True
U07-1,1,G,False,,none,,False,True
U07-1,2,C,False,,none,,False,True
U07-1,3,D,False,,none,,False,True
U07-1,4,C,True,1582.0,major_7th_cluster.wav,1170.0,True,True
U07-1,5,D,True,1116.0,stacked_tritones.wav,695.0,True,True
U07-1,6,G,False,,c_min7_b5.wav,,False,True
U07-1,7,D,True,1342.0,none,,True,True
U07-1,8,F,False,,none,,False,True
U07-1,9,F,False,,none,,False,True
U07-1,10,B,False,,none,,False,True
U07-1,11,F,True,1255.0,none,,True,True
U07-1,12,G,False,,c7_sharp_9.wav,,False,True
U07-1,13,C,False,,none,,False,True
U07-1,14,B,False,,c_major.wav,,False,True
U07-1,15,C,True,1165.0,none,,True,True
U07-1,16,C,False,,c_major_6.wav,,False,True
U07-1,17,G,False,,none,,False,True
U07-1,18,C,True,1096.0,none,,True,True
U07-1,19,B,False,,c_maj7_b9.wav,,False,True
U07-1,20,B,False,,minor_2nd_cluster.wav,,False,True
U07-1,21,B,True,902.0,none,,True,True
