Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U20-1,0,B,False,,none,,False,True
U20-1,1,G,False,,none,,False,True
U20-1,2,B,True,1575.0,none,,True,True
U20-1,3,G,True,1109.0,c_major.wav,687.0,True,True
U20-1,4,D,False,,c_major_6.wav,,False,True
U20-1,5,D,False,,none,,False,True
U20-1,6,C,False,,none,,False,True
U20-1,7,B,False,,none,,False,True
U20-1,8,F,False,,none,,False,True
U20-1,9,C,False,,minor_2nd_cluster.wav,,False,True
U20-1,10,G,False,,none,,False,True
U20-1,11,F,False,,none,,False,True
U20-1,12,G,True,1120.0,none,,True,True
U20-1,13,B,False,,c7_sharp_9.wav,,False,True
U20-1,14,B,False,,stacked_tritones.wav,,False,True
U20-1,15,B,True,867.0,major_7th_cluster.wav,463.0,True,True
U20-1,16,B,True,1345.0,none,,True,True
U20-1,17,C,False,,none,,False,True
U20-1,18,F,False,,c_maj7_b9.wav,,False,True
U20-1,19,D,False,,none,,False,True
U20-1,20,C,False,,c_min7_b5.wav,,False,True
U20-1,21,D,True,2211.0,none,,True,True
