Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U14,0,D,False,,none,,False,True
U14,1,G,False,,none,,False,True
U14,2,C,False,,none,,False,True
U14,3,D,True,2311.0,stacked_tritones.wav,1899.0,False,False
U14,4,C,False,,none,,True,False
U14,5,D,True,763.0,none,,True,True
U14,6,G,False,,none,,False,True
U14,7,D,True,1191.0,c_major_6.wav,775.0,True,True
U14,8,F,False,,none,,False,True
U14,9,F,False,,none,,False,True
U14,10,B,False,,none,,False,True
U14,11,F,True,841.0,c_min7_b5.wav,427.0,True,True
U14,12,G,False,,c_major.wav,,False,True
U14,13,C,False,,minor_2nd_cluster.wav,,False,True
U14,14,B,False,,none,,False,True
U14,15,C,True,1762.0,c7_sharp_9.wav,1352.0,True,True
U14,16,C,False,,none,,False,True
U14,17,G,True,1208.0,none,,False,False
U14,18,C,False,,none,,True,False
U14,19,B,False,,major_7th_cluster.wav,,False,True
U14,20,B,False,,c_maj7_b9.wav,,False,True
U14,21,B,True,704.0,none,,True,True
