Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U06-1,0,B,False,,none,,False,True
U06-1,1,G,False,,none,,False,True
U06-1,2,B,True,805.0,stacked_tritones.wav,396.0,True,True
U06-1,3,G,True,1803.0,none,,True,True
U06-1,4,D,False,,c_major.wav,,False,True
U06-1,5,D,False,,none,,False,True
U06-1,6,C,False,,none,,False,True
U06-1,7,B,False,,none,,False,True
U06-1,8,F,False,,none,,False,True
U06-1,9,C,False,,none,,False,True
U06-1,10,G,False,,none,,False,True
U06-1,11,F,False,,c_maj7_b9.wav,,False,True
U06-1,12,G,True,1767.0,c_major_6.wav,1360.0,True,True
U06-1,13,B,False,,none,,False,True
U06-1,14,B,False,,minor_2nd_cluster.wav,,False,True
U06-1,15,B,True,869.0,major_7th_cluster.wav,459.0,True,True
U06-1,16,B,True,1273.0,c7_sharp_9.wav,859.0,True,True
U06-1,17,C,False,,none,,False,True
U06-1,18,F,False,,c_min7_b5.wav,,False,True
U06-1,19,D,False,,none,,False,True
U06-1,20,C,False,,none,,False,True
U06-1,21,D,True,1125.0,none,,True,True
