Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U23,0,B,False,,none,,False,True
U23,1,C,False,,none,,False,True
U23,2,B,True,815.0,none,,True,True
U23,3,D,False,,none,,False,True
U23,4,B,True,698.0,c7_sharp_9.wav,283.0,True,True
U23,5,D,True,632.0,none,,True,True
U23,6,F,False,,major_7th_cluster.wav,,False,True
U23,7,D,True,829.0,c_major.wav,406.0,True,True
U23,8,F,True,831.0,c_min7_b5.wav,406.0,True,True
U23,9,G,False,,none,,False,True
U23,10,B,False,,none,,False,True
U23,11,G,True,716.0,stacked_tritones.wav,305.0,True,True
U23,12,C,False,,c_maj7_b9.wav,,False,True
U23,13,C,False,,none,,False,True
U23,14,F,False,,none,,False,True
U23,15,B,False,,minor_2nd_cluster.wav,,False,True
U23,16,F,True,769.0,none,,True,True
U23,17,G,False,,none,,False,True
U23,18,D,False,,none,,False,True
U23,19,G,True,783.0,c_major_6.wav,362.0,True,True
U23,20,B,False,,none,,False,True
U23,21,B,False,,none,,False,True
