Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U24-1,0,D,False,,none,,False,True
U24-1,1,G,False,,none,,False,True
U24-1,2,C,False,,c_min7_b5.wav,,False,True
U24-1,3,D,False,,none,,False,True
U24-1,4,C,True,856.0,none,,True,True
U24-1,5,D,True,1196.0,none,,True,True
U24-1,6,G,False,,none,,False,True
U24-1,7,D,False,,minor_2nd_cluster.wav,,True,False
U24-1,8,F,False,,none,,False,True
U24-1,9,F,True,919.0,stacked_tritones.wav,508.0,False,False
U24-1,10,B,False,,none,,False,True
U24-1,11,F,True,1186.0,none,,True,True
U24-1,12,G,False,,none,,False,True
U24-1,13,C,False,,none,,False,True
U24-1,14,B,False,,none,,False,True
U24-1,15,C,True,812.0,c_maj7_b9.wav,404.0,True,True
U24-1,16,C,False,,c_major_6.wav,,False,True
U24-1,17,G,False,,none,,False,True
U24-1,18,C,True,972.0,c7_sharp_9.wav,561.0,True,True
U24-1,19,B,False,,major_7th_cluster.wav,,False,True
U24-1,20,B,True,753.0,c_major.wav,343.0,False,False
U24-1,21,B,False,,none,,True,False
