Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U27-1,0,D,False,,none,,False,True
U27-1,1,G,False,,none,,False,True
U27-1,2,C,False,,none,,False,True
U27-1,3,D,True,1005.0,none,,False,False
U27-1,4,C,True,1424.0,none,,True,True
U27-1,5,D,False,,c_min7_b5.wav,,True,False
U27-1,6,G,True,1338.0,none,,False,False
U27-1,7,D,True,1427.0,c_major.wav,1005.0,True,True
U27-1,8,F,False,,c_major_6.wav,,False,True
U27-1,9,F,False,,none,,False,True
U27-1,10,B,False,,none,,False,True
U27-1,11,F,True,918.0,minor_2nd_cluster.wav,508.0,True,True
U27-1,12,G,False,,none,,False,True
U27-1,13,C,True,2105.0,none,,False,False
U27-1,14,B,True,2396.0,stacked_tritones.wav,1986.0,False,False
U27-1,15,C,False,,none,,True,False
U27-1,16,C,False,,none,,False,True
U27-1,17,G,False,,c7_sharp_9.wav,,False,True
U27-1,18,C,True,1035.0,none,,True,True
U27-1,19,B,False,,c_maj7_b9.wav,,False,True
U27-1,20,B,False,,major_7th_cluster.wav,,False,True
U27-1,21,B,True,1000.0,none,,True,True
